Student Name,Student ID,Major,Most Consistent Payment Day
Harold Taylor,SID32370,Economics,11
Michael Ward,SID32371,Medicine,1
Mr. Joshua Short,SID32372,Economics,11
Bobby Meadows,SID32373,Biology,13
Trevor Warren,SID32374,Biology,23
Robert Reid DVM,SID32375,Engineering,13
Heather Mcfarland,SID32376,History,9
Sue Chung,SID32377,Economics,24
Scott Ramirez,SID32378,Computer Science,12
Lauren Valenzuela,SID32379,Economics,21
Anna Schmidt,SID32380,Computer Science,3
Helen Clark,SID32381,Engineering,6
Michael Ramirez,SID32382,Mathematics,3
Nancy Downs,SID32383,History,9
Jason Brown DDS,SID32384,Economics,24
Crystal Perez,SID32385,History,1
Ashley Nunez,SID32386,Physics,23
Anthony Faulkner,SID32387,Art,27
Maurice Rogers,SID32388,Economics,12
Albert Bowman,SID32389,Physics,26
Mrs. Jessica Ortiz,SID32390,Physics,26
Ian Barker,SID32391,Philosophy,1
George Steele,SID32392,Mathematics,24
Jessica Rivera,SID32393,Psychology,13
Kelsey Ortega,SID32394,Computer Science,19
Kristen Lewis,SID32395,Biology,16
Laura Rodriguez,SID32396,Art,16
Frank Thomas,SID32397,Philosophy,14
Dawn Contreras,SID32398,Medicine,14
Erica Parker,SID32399,Psychology,15
Margaret Parker,SID32400,Psychology,21
Stephanie Aguilar,SID32401,Engineering,17
Misty Vazquez,SID32402,Computer Science,13
Connor Rodriguez,SID32403,Philosophy,24
Donald Shepherd,SID32404,Computer Science,14
Teresa Gardner,SID32405,Physics,16
Melody Walker,SID32406,Physics,18
Julie Kramer,SID32407,Medicine,12
Seth Arnold,SID32408,Engineering,19
Patricia Mcgrath,SID32409,Medicine,23
Mr. Jeremy Collier,SID32410,Psychology,18
Jeffrey Reid,SID32411,Literature,25
Antonio Lawrence,SID32412,Philosophy,27
Nicole Rush,SID32413,Biology,6
William Washington,SID32414,Physics,7
Misty Wheeler,SID32415,Computer Science,20
James Kennedy,SID32416,Mathematics,1
Jackie Kennedy,SID32417,Medicine,3
Raymond Payne,SID32418,Computer Science,8
Jason Martin,SID32419,Biology,17
Nicholas Bentley,SID32420,Philosophy,25
Lindsay Mendoza,SID32421,Economics,6
David Mcmillan,SID32422,Economics,13
Andrew Hodges,SID32423,Philosophy,7
Michael Murphy,SID32424,Economics,7
Donald Rivera,SID32425,Biology,8
Jodi Smith,SID32426,Psychology,18
Matthew Oconnor,SID32427,Philosophy,20
Marcus Rodriguez Jr.,SID32428,Medicine,5
Vickie Campos,SID32429,Philosophy,15
Stephanie Duffy,SID32430,Biology,28
Lisa Jimenez,SID32431,Engineering,11
Kevin Campbell,SID32432,Physics,3
Sierra Reid,SID32433,Medicine,18
Angel Ortiz,SID32434,Economics,19
Stanley Golden,SID32435,Philosophy,21
Robert Nelson,SID32436,Economics,1
Brandon Livingston,SID32437,Literature,19
Charles Herring,SID32438,Economics,21
Bianca Hart,SID32439,Economics,14
John Soto,SID32440,Biology,28
Roy Chandler DDS,SID32441,Art,3
Karen Kim,SID32442,Biology,21
Louis Jackson,SID32443,Biology,18
Joseph Cardenas,SID32444,Economics,16
Jessica Carroll,SID32445,Art,22
Michael Jones,SID32446,Art,10
Alexander Murray,SID32447,Philosophy,28
Michael Davis,SID32448,Physics,15
Anne Hernandez,SID32449,Economics,14
Joshua Riley,SID32450,History,27
Laurie Jones,SID32451,Physics,28
Alvin Jackson,SID32452,Computer Science,24
Joshua Sullivan,SID32453,History,6
Anthony Harris,SID32454,Medicine,5
Sherri Jackson,SID32455,Computer Science,28
Aaron Ayers,SID32456,Mathematics,2
Travis Vasquez,SID32457,Biology,22
Jason Scott,SID32458,Biology,6
Melissa Chandler,SID32459,Engineering,17
Jeanette Mcclain,SID32460,Philosophy,7
Adam Avila,SID32461,Engineering,27
Xavier Wright,SID32462,Psychology,11
Mitchell Smith,SID32463,Engineering,28
Raymond Smith,SID32464,Philosophy,21
Damon Erickson,SID32465,Engineering,10
Samuel Salazar,SID32466,Physics,6
Diana Cole,SID32467,Engineering,23
Brian Fowler,SID32468,History,25
Michael Rodriguez,SID32469,Psychology,24
Stephen Leblanc,SID32470,Literature,23
Jeffrey Francis,SID32471,Art,11
Patricia Griffin,SID32472,Philosophy,19
Jeffery Williams,SID32473,Biology,10
Anthony David,SID32474,Mathematics,21
Christopher Nixon,SID32475,Mathematics,3
Jay Young,SID32476,Art,23
Paul Ayers,SID32477,Computer Science,22
Denise Jackson,SID32478,Art,3
Kevin Evans,SID32479,Physics,4
Gary Jones,SID32480,Philosophy,22
Adam Martin,SID32481,History,23
Kayla Mccarthy,SID32482,Medicine,28
Brittany Best,SID32483,Mathematics,20
Kenneth Stein,SID32484,Mathematics,13
Christopher Sullivan,SID32485,History,9
Erica David,SID32486,Medicine,17
Dr. Chloe Henderson,SID32487,Engineering,5
Walter Barnes,SID32488,Engineering,1
Clifford Delacruz,SID32489,History,28
Aaron Spencer,SID32490,Economics,24
Christopher Davis,SID32491,Philosophy,10
Lisa Jackson,SID32492,Literature,1
Hunter Burgess,SID32493,Psychology,27
Allen Brown,SID32494,History,22
Nicole Garza,SID32495,Philosophy,28
Sabrina Hernandez,SID32496,Literature,4
Suzanne Brown,SID32497,Literature,11
Melissa Holmes,SID32498,Physics,19
Karen Gilbert,SID32499,Physics,14
David Pineda,SID32500,Computer Science,9
Kristin Johnson,SID32501,Physics,20
Laura Davis,SID32502,Economics,19
Jamie Williams,SID32503,Physics,23
Heather Hicks,SID32504,Engineering,4
Diane Crawford,SID32505,Art,1
Timothy Garza,SID32506,Literature,22
Lisa Harris,SID32507,Psychology,26
Debbie Strickland,SID32508,Art,24
Jason Rowe,SID32509,Psychology,27
Christine Hopkins,SID32510,Philosophy,19
Kristie Pena,SID32511,Philosophy,10
Matthew Rodriguez,SID32512,History,14
Marvin Stanton,SID32513,Computer Science,28
Teresa Macias,SID32514,Medicine,15
Veronica Cunningham,SID32515,Philosophy,27
David Lewis,SID32516,Computer Science,17
Katie Vaughan,SID32517,Philosophy,7
Mark Ingram,SID32518,Medicine,8
Jorge Alvarez,SID32519,Biology,15
David Osborne,SID32520,Mathematics,5
Eric Bates,SID32521,Engineering,10
Matthew Caldwell,SID32522,History,7
Kaylee Esparza,SID32523,Engineering,10
Wesley Phelps,SID32524,Medicine,25
Melissa Clark,SID32525,Economics,9
Shawn Armstrong,SID32526,Economics,20
Sarah Landry,SID32527,Psychology,3
Rebecca Banks,SID32528,Economics,6
Katie Smith,SID32529,Engineering,28
Matthew Sanchez,SID32530,Psychology,7
Danny Brown,SID32531,Philosophy,23
Mr. Steven Trujillo,SID32532,Literature,10
Jacqueline Bradley,SID32533,Engineering,10
Benjamin Harris,SID32534,Medicine,25
Lauren Williams,SID32535,Art,12
Mr. Christopher Mendez,SID32536,Biology,25
Clinton Sullivan DDS,SID32537,History,17
Eric Johnson,SID32538,Philosophy,16
Carrie Rowe,SID32539,Economics,13
Theresa Bell,SID32540,Computer Science,24
Blake Reyes,SID32541,Psychology,14
Beth Anderson,SID32542,Physics,9
Destiny Jenkins,SID32543,Physics,11
Pamela Calderon,SID32544,Mathematics,11
Ricardo Gross,SID32545,Physics,18
Jason Jordan,SID32546,Economics,11
Isabel Williams,SID32547,Psychology,14
Justin Castro,SID32548,Philosophy,8
Kyle Mitchell,SID32549,Biology,6
Lacey Martinez,SID32550,Mathematics,14
Victor King,SID32551,Biology,6
Paul Bradford,SID32552,Engineering,12
Jamie Freeman,SID32553,Physics,16
Rachel Whitaker,SID32554,Physics,20
Katie Noble,SID32555,Psychology,13
Evan Stewart DVM,SID32556,History,16
John Reyes,SID32557,Engineering,8
Donna Anderson,SID32558,Medicine,12
Dennis Mccarthy,SID32559,Art,17
Patrick Riley,SID32560,Psychology,28
Tracey Carrillo,SID32561,Psychology,8
Lisa Edwards,SID32562,Mathematics,17
Rachel Henderson,SID32563,Engineering,8
Kelly Hardy,SID32564,Art,10
Jonathan Green,SID32565,Mathematics,13
Deborah Baker,SID32566,History,15
Kyle Lewis,SID32567,Psychology,18
Grant Hayes,SID32568,Mathematics,16
Timothy West,SID32569,Engineering,12
Kristin Vargas,SID32570,Philosophy,4
Stephanie Morgan,SID32571,Biology,12
Chelsea Reyes,SID32572,Engineering,16
Micheal Bartlett,SID32573,Biology,22
Anthony Caldwell,SID32574,Art,18
Nicholas Fischer,SID32575,Computer Science,14
Olivia Chan,SID32576,Engineering,17
Thomas Daniels,SID32577,Physics,6
Kimberly Taylor,SID32578,Engineering,5
John Gonzalez,SID32579,Mathematics,26
Norman Pearson,SID32580,Mathematics,12
Marissa Hamilton,SID32581,Economics,9
Tara Gordon,SID32582,Computer Science,1
Jared Guerrero,SID32583,Physics,2
Jessica Sanders,SID32584,History,11
Alfred Whitehead,SID32585,Literature,7
Lisa Patterson,SID32586,Engineering,6
Andre Lopez,SID32587,Biology,10
Brian Edwards,SID32588,Philosophy,21
Kathleen Jones,SID32589,Medicine,4
Gary Mitchell,SID32590,History,19
Christine Rivera,SID32591,Literature,27
Michael Barnes,SID32592,History,28
Charles Werner,SID32593,Biology,4
John Stevens,SID32594,Biology,3
Jeremy Gardner,SID32595,Economics,12
John Torres,SID32596,Mathematics,20
Kenneth Donovan,SID32597,Biology,19
Joshua Walker,SID32598,Mathematics,28
Tony Calderon,SID32599,Physics,14
Wendy Scott,SID32600,Economics,25
Martin Hernandez,SID32601,Biology,27
Dr. Spencer Rivera,SID32602,Computer Science,12
Margaret Phillips,SID32603,Literature,18
Kristin Owens,SID32604,Mathematics,5
Traci Kidd,SID32605,Economics,12
Roberto Armstrong,SID32606,Mathematics,20
Jared Bishop,SID32607,Computer Science,18
Paul Perkins,SID32608,Engineering,2
Alan Ayers,SID32609,Computer Science,15
Miranda Chambers,SID32610,Economics,7
Tiffany Hunter,SID32611,Computer Science,11
Francisco Welch,SID32612,Mathematics,28
Timothy Oliver,SID32613,Engineering,19
Greg Roberson,SID32614,Medicine,24
Thomas Oneill,SID32615,Psychology,2
Crystal Morales,SID32616,Engineering,8
Jade Callahan,SID32617,Biology,14
Vanessa Watson,SID32618,Psychology,11
Zachary Stephenson,SID32619,Psychology,6
Scott Jarvis,SID32620,Engineering,25
Dawn Campos,SID32621,Computer Science,6
Leah Payne,SID32622,Economics,5
Kathleen Henry,SID32623,Physics,9
Mark Raymond,SID32624,Computer Science,1
Savannah Allen MD,SID32625,Mathematics,14
Steven Hull,SID32626,Physics,19
Aaron Flynn,SID32627,Medicine,7
Michael James,SID32628,Physics,16
Bradley Gallegos,SID32629,Economics,25
Ashley Caldwell,SID32630,Engineering,4
David Hurst,SID32631,Computer Science,17
Jennifer Henson,SID32632,Biology,8
Ivan Fuentes,SID32633,Computer Science,27
Melvin Morris,SID32634,Philosophy,15
Vickie Arellano,SID32635,Medicine,13
Justin Miles,SID32636,Medicine,14
Johnathan Johnson,SID32637,Literature,28
Mariah Daniel,SID32638,Art,19
Benjamin Orozco,SID32639,Literature,3
Linda Stevens,SID32640,Engineering,6
Taylor Becker,SID32641,Physics,14
Todd Reyes,SID32642,Physics,24
William Dougherty,SID32643,Art,17
Kyle Jenkins,SID32644,Biology,27
Caroline Smith,SID32645,Literature,8
Priscilla Franklin,SID32646,Medicine,10
Pamela Webster,SID32647,Computer Science,4
Monica Gray,SID32648,Art,15
Robert Cohen,SID32649,Psychology,12
Suzanne Duke,SID32650,History,5
Jessica Marshall,SID32651,Computer Science,22
Jeffrey Gonzalez,SID32652,Literature,20
Kathleen Huffman,SID32653,Art,12
Drew Frederick,SID32654,History,5
Rebecca Henson,SID32655,Philosophy,12
Sara Gill DVM,SID32656,Art,28
Mark Gomez,SID32657,Literature,23
Alexis Grant,SID32658,Computer Science,13
David Jones,SID32659,Economics,22
Gabriella Cummings,SID32660,Economics,12
Brian Hale,SID32661,Art,28
Angela Kane,SID32662,Art,3
Tanner Kelly,SID32663,Art,9
Alicia Gilbert,SID32664,Computer Science,24
Valerie Stewart PhD,SID32665,Economics,23
Charles Lewis,SID32666,Literature,28
Denise Smith,SID32667,Biology,22
Phillip Church,SID32668,Computer Science,25
Joseph Allen,SID32669,Medicine,16
Lisa Byrd,SID32670,Medicine,21
Luis Oconnor,SID32671,Philosophy,22
Joshua Peterson,SID32672,Medicine,2
Hannah Martinez,SID32673,Philosophy,9
Mary Clements,SID32674,Engineering,18
John Hoffman,SID32675,Economics,22
Latoya Warren,SID32676,Medicine,22
Steve Barrera,SID32677,Medicine,18
David Mcmillan,SID32678,Literature,5
Deborah Johns,SID32679,Psychology,12
Victoria Mckinney,SID32680,Psychology,14
Darlene Walker,SID32681,Engineering,8
Kevin Barr,SID32682,Medicine,2
Ernest Griffin,SID32683,Mathematics,28
James Harmon,SID32684,Engineering,10
Tiffany Butler,SID32685,Biology,7
Kathryn Anderson,SID32686,Philosophy,14
Karen Pennington,SID32687,Biology,12
Tara Davis,SID32688,Computer Science,6
Andrew Boyd,SID32689,Medicine,9
Mr. David Moran,SID32690,Psychology,1
Tiffany Black,SID32691,Psychology,10
John Cuevas V,SID32692,Physics,7
Helen Gonzalez,SID32693,Physics,16
Miranda Barnes,SID32694,Physics,14
James Mcpherson,SID32695,Engineering,12
Anne Carpenter,SID32696,Biology,1
Jasmine Price,SID32697,Mathematics,4
Laura Dunn,SID32698,Psychology,25
Rhonda Davis,SID32699,Engineering,24
Kenneth Garcia Jr.,SID32700,Art,5
Katherine Ortega,SID32701,Medicine,19
Sheena Vasquez,SID32702,Art,24
Ashley Brown,SID32703,Computer Science,8
Jennifer Moore,SID32704,Medicine,26
Brooke Fernandez,SID32705,Engineering,10
Shawn Schultz,SID32706,History,2
Juan Gray,SID32707,Medicine,22
Antonio Bryant,SID32708,Psychology,25
Jesus Callahan,SID32709,Medicine,12
Jessica Brown,SID32710,Biology,26
Elizabeth Williams,SID32711,Philosophy,16
Joshua Simmons,SID32712,Philosophy,21
Michael Pollard,SID32713,Physics,19
Gail Sanders,SID32714,Literature,1
Jose Carson MD,SID32715,Physics,15
Gary Meyers,SID32716,History,4
Michelle Pennington,SID32717,Mathematics,28
Timothy Mckenzie,SID32718,Psychology,6
Stephen Henderson,SID32719,Psychology,11
Susan Zimmerman,SID32720,Literature,19
Mary Gutierrez,SID32721,History,15
Nicole Wang,SID32722,Medicine,4
Adam Davis,SID32723,Medicine,25
Connie Collins,SID32724,Engineering,14
Brett Duarte,SID32725,Philosophy,3
Anthony Ballard,SID32726,Economics,17
Ronald Frazier,SID32727,Psychology,17
Dustin Horn,SID32728,Engineering,18
Christie Murray,SID32729,Engineering,22
Christopher Meza,SID32730,Medicine,14
Jeffrey Henry,SID32731,Literature,3
Tonya Patterson,SID32732,Economics,17
Alfred Jones,SID32733,Engineering,23
Jamie Lawrence,SID32734,History,20
Kathy Tyler,SID32735,Philosophy,3
Carla Martinez,SID32736,Economics,18
Tristan Johnson,SID32737,Biology,24
Sarah Williams,SID32738,Art,5
Karen Bell,SID32739,Literature,20
Jason Hunt,SID32740,Philosophy,25
Sara Kelly,SID32741,Biology,1
Christopher Key,SID32742,Psychology,5
Mary Bass,SID32743,Economics,3
Amber Keith,SID32744,Medicine,4
Ethan Johnson,SID32745,History,11
Francisco Leach,SID32746,Medicine,11
Daniel Walker,SID32747,Computer Science,14
Randall Buchanan,SID32748,Literature,21
Patricia Atkins,SID32749,Medicine,11
Carol Mcdonald,SID32750,Physics,6
Matthew Grant,SID32751,Biology,16
Ashley Keller,SID32752,Physics,1
Chad Love,SID32753,Art,9
William Lewis,SID32754,History,12
Daniel Aguilar,SID32755,Medicine,26
Mr. Noah Rogers,SID32756,Biology,26
Tricia Thomas,SID32757,Economics,15
Dr. Mark Mitchell,SID32758,Medicine,7
Kristi Peterson,SID32759,Medicine,17
Melinda Dunlap,SID32760,Philosophy,11
Leonard Newman,SID32761,Psychology,23
Mr. Craig Mejia,SID32762,Philosophy,5
Lauren Walsh,SID32763,Mathematics,27
William Sullivan,SID32764,Medicine,1
Brooke Lewis,SID32765,Computer Science,15
Timothy Fernandez,SID32766,Art,4
Sydney Edwards,SID32767,Psychology,3
Lisa Coleman,SID32768,Art,5
Christian Rivas,SID32769,Physics,12
Christine Yang,SID32770,Medicine,5
Daniel Underwood,SID32771,Mathematics,15
Kathy Cummings,SID32772,History,15
Justin Diaz,SID32773,Engineering,26
Corey Romero,SID32774,Economics,3
Megan Ross,SID32775,Psychology,3
Jonathan Brown,SID32776,Biology,12
Michelle Fox,SID32777,Psychology,11
Jason Murphy DVM,SID32778,Economics,11
Jacob Roy,SID32779,Medicine,23
Kristen Roberts,SID32780,Literature,1
John Lopez,SID32781,Medicine,25
Lindsey Kennedy,SID32782,Psychology,3
Tyler Long,SID32783,Physics,10
Garrett Davis,SID32784,Philosophy,14
Connie Collins,SID32785,Philosophy,11
Jennifer Pacheco,SID32786,Literature,6
Ellen Santana,SID32787,Biology,25
Jeffrey Johnson,SID32788,Economics,9
John Brown,SID32789,Engineering,1
Charles House,SID32790,Literature,7
Michelle Boyd,SID32791,Physics,24
Michael Ali,SID32792,Psychology,9
James Guzman,SID32793,Biology,26
Crystal Freeman,SID32794,Engineering,16
Robert Smith,SID32795,Literature,10
Jasmine Hawkins,SID32796,History,8
Andrew Mckenzie,SID32797,Psychology,7
Ashlee Anderson,SID32798,Medicine,19
Abigail George,SID32799,Economics,25
Christina Hall,SID32800,Engineering,2
Katrina Simpson,SID32801,Philosophy,10
Cynthia Miller,SID32802,Physics,11
Kevin Austin,SID32803,Biology,2
Christopher Perez,SID32804,Philosophy,18
Dennis Navarro,SID32805,Art,5
Tony White,SID32806,Economics,19
Stephanie Hernandez,SID32807,Art,4
Christina Ray,SID32808,Computer Science,25
Vanessa Anderson,SID32809,History,8
Roy Owen,SID32810,Economics,27
Tyler Gonzales,SID32811,Engineering,3
Charles Wood,SID32812,Literature,2
Whitney Sanchez,SID32813,Psychology,9
Cindy Brown,SID32814,Medicine,27
Denise Taylor,SID32815,Literature,28
Mrs. Jessica Ortega,SID32816,Art,3
Alexandra Johns,SID32817,History,15
Charles Johnston,SID32818,Mathematics,5
Steven Perez,SID32819,Computer Science,22
Tyrone Ramirez,SID32820,Engineering,25
Joshua Brown,SID32821,Medicine,23
Michelle Taylor,SID32822,Engineering,17
Leslie Johnson,SID32823,Engineering,12
Timothy Robinson,SID32824,Engineering,6
Kelly Gonzales MD,SID32825,Art,5
Jocelyn Weber,SID32826,Engineering,9
Christina Daniel,SID32827,Psychology,11
Jeffrey Clements,SID32828,Psychology,11
Susan Sanchez,SID32829,Medicine,27
Maxwell Harrington,SID32830,Medicine,5
Tommy Nguyen,SID32831,Biology,28
Marilyn Bishop,SID32832,Philosophy,9
Donald Tran,SID32833,Physics,20
Eugene Williams,SID32834,Computer Science,3
Ryan Gutierrez,SID32835,Medicine,1
Chris Salas,SID32836,Art,20
William Thomas,SID32837,Mathematics,12
Shawn Banks,SID32838,Psychology,19
Heidi Russell,SID32839,Art,19
Kyle White,SID32840,Art,13
Isaiah Palmer,SID32841,Medicine,12
Alisha Gordon,SID32842,Biology,25
Michelle Casey,SID32843,Medicine,25
Jessica Cook,SID32844,Medicine,5
Randall Hooper,SID32845,Literature,8
Bryan Swanson,SID32846,Literature,25
Chelsea Stephens,SID32847,Engineering,7
James Wright,SID32848,Economics,25
Gerald Wise,SID32849,Biology,19
Charles Jordan,SID32850,Psychology,28
Jean Bailey,SID32851,Medicine,3
Ian Hudson,SID32852,Literature,12
Antonio Stevens,SID32853,Engineering,12
Breanna Wood,SID32854,Philosophy,1
Stacy Mccoy,SID32855,Psychology,9
Patrick Martinez,SID32856,Literature,1
Kathleen Hayes,SID32857,History,27
Aaron Patterson,SID32858,Engineering,1
Kimberly Adams,SID32859,Economics,24
Katherine Ray,SID32860,Psychology,5
Dale Edwards,SID32861,Art,28
Mrs. Emily Hutchinson,SID32862,Medicine,10
Betty Olsen,SID32863,History,10
Matthew Johnson,SID32864,History,26
Sarah Miller,SID32865,Philosophy,20
Joseph Turner,SID32866,Medicine,9
Gabriel Wilson,SID32867,Philosophy,14
Michael Mueller,SID32868,Computer Science,16
Todd Bennett,SID32869,Economics,27
Thomas Hardy,SID32870,Literature,11
William Ingram,SID32871,Engineering,12
Lauren Santana,SID32872,Art,11
Christopher Pierce,SID32873,Physics,9
Andrea Willis,SID32874,Art,7
Tricia Harris,SID32875,Economics,23
Robert Sanders,SID32876,Physics,18
Amber Ryan,SID32877,Medicine,11
Christine Burns,SID32878,Philosophy,4
Christina Lucas,SID32879,Medicine,9
Marie Thomas,SID32880,Medicine,2
Tina Shields,SID32881,Biology,3
Kimberly Morse,SID32882,Engineering,4
Sergio Jones,SID32883,Physics,26
Heather Lopez,SID32884,Art,5
Katherine Wilson,SID32885,Philosophy,14
Jessica Hernandez,SID32886,Biology,17
Alexandra Davis,SID32887,Psychology,14
Karen Peterson,SID32888,History,3
Donna Graham,SID32889,Art,27
Mark Gomez,SID32890,Mathematics,14
Sandra Bell,SID32891,Economics,24
Jonathan Marks,SID32892,Philosophy,15
Janice Pineda,SID32893,Philosophy,21
Walter Perkins,SID32894,Medicine,22
Edward Lopez,SID32895,Literature,26
Jennifer Brandt,SID32896,Psychology,11
Mark Davis,SID32897,History,2
Cindy Manning,SID32898,Economics,16
Justin Curry,SID32899,Economics,17
Kristi Smith,SID32900,Medicine,9
Brandy Howard,SID32901,History,13
Sarah Mayo,SID32902,Engineering,25
Isaiah Arnold,SID32903,Literature,4
Dawn Moore,SID32904,Engineering,8
Laurie King,SID32905,Computer Science,16
Thomas Luna,SID32906,History,25
April Bryan,SID32907,Biology,22
Donald George,SID32908,Medicine,14
Russell Harris,SID32909,Philosophy,24
Sarah Robinson,SID32910,Philosophy,17
James Martin,SID32911,Economics,14
Corey Smith,SID32912,Literature,26
Joy Kirk,SID32913,Economics,22
Cole Collins,SID32914,Computer Science,3
Kathy Carroll MD,SID32915,Computer Science,27
Allen Hogan,SID32916,Engineering,6
Anthony Edwards,SID32917,Art,15
Tammy Robinson,SID32918,Mathematics,12
Stephanie Fernandez,SID32919,Mathematics,12
Melanie Newman,SID32920,Art,8
Dominique Ibarra,SID32921,Medicine,17
Lori Stephens,SID32922,Philosophy,9
Patrick Fowler,SID32923,Art,19
Jordan Duncan,SID32924,Art,7
Jonathan Green,SID32925,Computer Science,1
Emily Wilson,SID32926,Mathematics,20
Keith Carson,SID32927,Economics,22
Mark Banks,SID32928,Philosophy,8
Joseph Berry,SID32929,Literature,22
Lori Holder,SID32930,Physics,5
Wanda Chaney,SID32931,Computer Science,20
Chelsea Garcia,SID32932,Computer Science,23
Laura Miller,SID32933,Physics,25
Elizabeth Ramirez,SID32934,Art,13
Jesse Freeman,SID32935,History,25
Derrick Strickland,SID32936,Economics,6
Kristina Craig,SID32937,Art,21
Jenna Wilson,SID32938,Medicine,8
Richard Simpson,SID32939,Psychology,24
Diamond Tyler,SID32940,Engineering,10
Rachel Wells,SID32941,Medicine,2
Tiffany Villa,SID32942,Economics,9
Elizabeth Bell,SID32943,Computer Science,26
Melissa Mccormick,SID32944,Art,24
Justin Buchanan,SID32945,Physics,3
Johnny Holt,SID32946,Literature,19
Kevin Morgan,SID32947,Literature,11
Kyle Tyler,SID32948,Art,28
Gail Sullivan,SID32949,Literature,23
Kevin Acosta,SID32950,Philosophy,19
Robert Wagner,SID32951,Mathematics,23
Keith Anderson,SID32952,Economics,12
Colton Knight,SID32953,Literature,4
William Mitchell,SID32954,Psychology,13
Julie Paul,SID32955,Psychology,7
Brian Becker,SID32956,Biology,7
Christine Boyd,SID32957,Computer Science,14
Bianca Williams,SID32958,Psychology,27
David Valdez,SID32959,Psychology,26
Alan Garner,SID32960,History,8
Devin Rodriguez,SID32961,Engineering,21
Brent Kelley,SID32962,Economics,15
Holly Rubio,SID32963,Biology,12
Adam Stephenson,SID32964,Literature,24
Katrina West DDS,SID32965,Economics,16
David Larsen,SID32966,Psychology,28
Latoya Johnson,SID32967,Mathematics,8
Lucas Tran,SID32968,Art,20
Daniel Bowers,SID32969,Mathematics,11
Kathryn Nguyen,SID32970,Medicine,27
Lawrence Perkins,SID32971,Art,28
Joseph Sullivan,SID32972,History,26
Nathan Lopez,SID32973,Art,25
Daniel Perez,SID32974,Engineering,16
Jeffrey Galloway,SID32975,Medicine,21
Ian Price,SID32976,Mathematics,21
Catherine Lopez,SID32977,Psychology,25
Anthony Baxter,SID32978,Mathematics,27
Mary Sanders,SID32979,Mathematics,4
Larry Smith,SID32980,Medicine,1
Angela Gallagher,SID32981,Medicine,16
Tyler Greene,SID32982,Computer Science,15
Matthew Smith,SID32983,Economics,17
James Atkinson,SID32984,Philosophy,17
Joshua Young,SID32985,Economics,17
Angela Mason,SID32986,Art,7
Katelyn Roberts,SID32987,Art,9
Roberto Allen,SID32988,History,11
Karen Kidd,SID32989,Biology,1
Fernando Miller,SID32990,Literature,13
Heather Morris,SID32991,History,5
Beth Harrison,SID32992,Mathematics,22
Lori Gardner,SID32993,Biology,1
Erika Jenkins,SID32994,Psychology,26
Kathy Moore,SID32995,Psychology,2
Tara Evans,SID32996,Computer Science,20
Richard Haynes,SID32997,Medicine,28
James Freeman,SID32998,Economics,4
Ryan Stephenson,SID32999,Medicine,22
Kirk Griffin,SID33000,Biology,27
Nicole Barajas,SID33001,History,5
Heather Moore,SID33002,Philosophy,26
Jonathan Watson,SID33003,Literature,19
Katherine Anderson,SID33004,Psychology,9
Daniel Brown,SID33005,Engineering,12
Jose Horton,SID33006,Mathematics,14
Jeffrey Kaufman,SID33007,Art,23
Alan Powers,SID33008,Physics,16
Reginald Gonzalez,SID33009,Physics,1
Samantha Vaughan,SID33010,Art,4
Billy Morrison,SID33011,Psychology,19
Sharon Williams,SID33012,Biology,15
Rachel Clark,SID33013,Medicine,20
Rachel Howard,SID33014,Mathematics,12
Michael Tran,SID33015,Economics,7
Maria Hoover,SID33016,Physics,11
Michael Rose,SID33017,Engineering,22
Raymond Ray,SID33018,History,9
Aaron Thompson,SID33019,Mathematics,10
James Waters,SID33020,Art,21
Sandra Saunders,SID33021,Philosophy,13
Sandra Campbell,SID33022,Engineering,9
Todd Nguyen,SID33023,Economics,11
Paige Huynh,SID33024,Mathematics,7
Jacob Howard,SID33025,Medicine,24
Jerry Ferguson,SID33026,History,2
Stephanie Gonzalez MD,SID33027,Philosophy,6
Teresa Wilkerson,SID33028,Economics,25
Mary Lopez,SID33029,Psychology,15
Tami Griffith,SID33030,Medicine,3
Miranda Boyle,SID33031,History,16
Stacy Sheppard,SID33032,Economics,27
Janet Haynes,SID33033,Engineering,28
Anne Solis,SID33034,Philosophy,8
Melinda Thomas,SID33035,Literature,16
Rebecca Pope,SID33036,Medicine,10
Sarah Wade,SID33037,Computer Science,14
Richard Bean,SID33038,Engineering,23
Beth Thomas,SID33039,Economics,8
Stacy Martinez,SID33040,Art,6
Julia Hernandez,SID33041,Psychology,13
Hannah Landry,SID33042,Economics,3
Logan Carter,SID33043,History,22
Helen Moore,SID33044,Psychology,28
Lauren Kelley,SID33045,Computer Science,20
Courtney Montoya,SID33046,Computer Science,20
Brandon Mays,SID33047,Philosophy,7
Autumn Smith,SID33048,Mathematics,18
Kevin Brown,SID33049,Literature,4
Emily Jenkins MD,SID33050,Biology,5
Brenda Morales,SID33051,Mathematics,9
Mary Brown,SID33052,Economics,20
Nicholas Lam,SID33053,Mathematics,9
Nathan Sanchez,SID33054,Psychology,7
Ronald Gardner,SID33055,Engineering,26
Alexandra English,SID33056,Economics,26
Tara Mills,SID33057,Psychology,14
Shawn Taylor,SID33058,Computer Science,12
Brandy Jackson,SID33059,Physics,20
Ashley Ortega,SID33060,Mathematics,28
James Morales,SID33061,Physics,1
Jason Nash,SID33062,Economics,4
Veronica Patel,SID33063,Psychology,19
Jeffrey Rice,SID33064,Medicine,12
